CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,MG/M^3,,UE/m^2/sec,
183.0,2,4.2064,2,33.741,2,136.5,2,67.2,2,0.037000000000000005,2,0.133,2,,2
184.0,2,4.2038,2,33.7412,2,135.7,2,67.2,2,0.037000000000000005,2,0.139,2,,2
185.0,2,4.1975,2,33.7428,2,135.0,2,67.2,2,0.037000000000000005,2,0.126,2,,2
186.0,2,4.1891,2,33.7447,2,134.4,2,67.0,2,0.037000000000000005,2,0.141,2,,2
187.0,2,4.1843,2,33.7455,2,133.8,2,67.0,2,0.04,2,0.131,2,,2
188.0,2,4.1824,2,33.7459,2,132.7,2,67.2,2,0.037000000000000005,2,0.135,2,,2
189.0,2,4.1782,2,33.7468,2,131.6,2,67.2,2,0.037000000000000005,2,0.14,2,,2
190.0,2,4.1744,2,33.7476,2,130.5,2,67.2,2,0.037000000000000005,2,0.145,2,,2
191.0,2,4.1588,2,33.751999999999995,2,129.7,2,67.2,2,0.037000000000000005,2,0.11800000000000001,2,,2
192.0,2,4.1524,2,33.7555,2,129.4,2,67.2,2,0.04,2,0.146,2,,2
193.0,2,4.1503,2,33.7574,2,129.0,2,67.2,2,0.042,2,0.149,2,,2
194.0,2,4.1481,2,33.7587,2,128.5,2,67.2,2,0.037000000000000005,2,0.135,2,,2
195.0,2,4.1462,2,33.7595,2,128.1,2,67.2,2,0.037000000000000005,2,0.138,2,,2
196.0,2,4.1404,2,33.7604,2,127.5,2,67.1,2,0.037000000000000005,2,0.145,2,,2
197.0,2,4.1339999999999995,2,33.7615,2,126.4,2,67.2,2,0.037000000000000005,2,0.141,2,,2
198.0,2,4.1315,2,33.7633,2,125.1,2,67.1,2,0.039,2,0.133,2,,2
199.0,2,4.1318,2,33.7648,2,124.4,2,67.0,2,0.04,2,0.134,2,,2
200.0,2,4.1281,2,33.7678,2,124.3,2,67.2,2,0.037000000000000005,2,0.11599999999999999,2,,2
201.0,2,4.121,2,33.7702,2,124.4,2,67.2,2,0.045,2,0.147,2,,2
202.0,2,4.1144,2,33.7714,2,124.8,2,67.2,2,0.037000000000000005,2,0.15,2,,2
203.0,2,4.1111,2,33.7714,2,124.5,2,67.2,2,0.038,2,0.12300000000000001,2,,2
204.1,2,4.1077,2,33.7715,2,123.3,2,67.2,2,0.037000000000000005,2,0.121,2,,2
205.0,2,4.0965,2,33.7724,2,121.0,2,67.1,2,0.037000000000000005,2,0.132,2,,2
205.9,2,4.0935,2,33.7737,2,120.0,2,67.1,2,0.037000000000000005,2,0.129,2,,2
207.0,2,4.0852,2,33.7761,2,119.3,2,67.2,2,0.037000000000000005,2,0.14,2,,2
208.0,2,4.084,2,33.7778,2,118.7,2,67.2,2,0.037000000000000005,2,0.15,2,,2
209.0,2,4.0831,2,33.7789,2,118.4,2,67.2,2,0.037000000000000005,2,0.126,2,,2
210.0,2,4.0763,2,33.7795,2,118.2,2,67.2,2,0.037000000000000005,2,0.13699999999999998,2,,2
211.0,2,4.0706,2,33.7807,2,117.8,2,67.1,2,0.037000000000000005,2,0.145,2,,2
212.0,2,4.0665,2,33.7833,2,117.3,2,67.2,2,0.037000000000000005,2,0.134,2,,2
