CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,MG/M^3,,UE/m^2/sec,
84.0,2,6.8335,2,32.7047,2,297.3,2,65.0,2,0.5479999999999999,2,0.8029999999999999,2,,2
85.0,2,6.8159,2,32.705999999999996,2,297.2,2,65.1,2,0.513,2,0.7659999999999999,2,,2
86.0,2,6.7996,2,32.7066,2,296.9,2,65.1,2,0.495,2,0.7509999999999999,2,,2
87.0,2,6.7931,2,32.7068,2,296.6,2,65.2,2,0.484,2,0.74,2,,2
88.1,2,6.7869,2,32.7069,2,296.3,2,65.3,2,0.46399999999999997,2,0.768,2,,2
88.9,2,6.7803,2,32.7078,2,295.7,2,65.3,2,0.449,2,0.73,2,,2
90.0,2,6.7569,2,32.7112,2,295.4,2,65.4,2,0.42200000000000004,2,0.639,2,,2
91.0,2,6.7479,2,32.7124,2,295.1,2,65.5,2,0.396,2,0.607,2,,2
92.0,2,6.7385,2,32.7128,2,294.7,2,65.5,2,0.377,2,0.635,2,,2
93.0,2,6.7034,2,32.7159,2,294.8,2,65.7,2,0.348,2,0.578,2,,2
94.0,2,6.6865,2,32.7184,2,294.6,2,65.7,2,0.32,2,0.536,2,,2
95.0,2,6.6847,2,32.7195,2,294.2,2,65.7,2,0.314,2,0.51,2,,2
96.0,2,6.6822,2,32.721,2,293.6,2,65.8,2,0.306,2,0.509,2,,2
97.0,2,6.6807,2,32.723,2,293.6,2,65.8,2,0.308,2,0.479,2,,2
98.0,2,6.6602,2,32.7301,2,293.4,2,65.8,2,0.281,2,0.452,2,,2
99.0,2,6.656000000000001,2,32.7326,2,293.2,2,65.8,2,0.281,2,0.436,2,,2
100.0,2,6.6519,2,32.734,2,293.1,2,65.9,2,0.281,2,0.429,2,,2
101.0,2,6.6487,2,32.7354,2,292.9,2,65.9,2,0.26899999999999996,2,0.423,2,,2
102.1,2,6.6458,2,32.7377,2,292.3,2,65.9,2,0.266,2,0.47200000000000003,2,,2
102.9,2,6.6467,2,32.7391,2,289.9,2,65.9,2,0.264,2,0.467,2,,2
104.0,2,6.6532,2,32.7486,2,288.8,2,65.9,2,0.256,2,0.391,2,,2
105.0,2,6.666,2,32.7688,2,288.6,2,65.9,2,0.247,2,0.406,2,,2
106.0,2,6.6698,2,32.7817,2,288.1,2,65.9,2,0.242,2,0.36200000000000004,2,,2
107.0,2,6.6698,2,32.7834,2,287.8,2,65.9,2,0.237,2,0.382,2,,2
108.0,2,6.6691,2,32.7836,2,287.3,2,65.9,2,0.233,2,0.409,2,,2
109.0,2,6.6693,2,32.7876,2,286.6,2,65.9,2,0.23399999999999999,2,0.392,2,,2
110.0,2,6.6715,2,32.7926,2,286.1,2,65.9,2,0.228,2,0.35,2,,2
111.0,2,6.6738,2,32.7974,2,286.0,2,65.9,2,0.22,2,0.369,2,,2
112.0,2,6.6739999999999995,2,32.801,2,285.7,2,65.9,2,0.22,2,0.354,2,,2
113.0,2,6.6721,2,32.8014,2,285.2,2,65.9,2,0.22,2,0.379,2,,2
114.0,2,6.6732,2,32.8042,2,284.1,2,65.9,2,0.221,2,0.36,2,,2
115.0,2,6.6751,2,32.8069,2,282.3,2,66.0,2,0.21600000000000003,2,0.364,2,,2
116.0,2,6.6793,2,32.8143,2,280.3,2,65.9,2,0.20800000000000002,2,0.38,2,,2
117.0,2,6.6855,2,32.8273,2,277.9,2,66.0,2,0.203,2,0.359,2,,2
118.0,2,6.6983,2,32.8545,2,272.6,2,66.0,2,0.195,2,0.33799999999999997,2,,2
119.0,2,6.7114,2,32.8789,2,267.0,2,66.0,2,0.195,2,0.304,2,,2
120.0,2,6.7479,2,32.9016,2,263.3,2,66.0,2,0.17800000000000002,2,0.312,2,,2
121.1,2,6.8215,2,32.9466,2,259.5,2,66.0,2,0.168,2,0.297,2,,2
122.0,2,6.9644,2,33.0234,2,252.1,2,66.1,2,0.147,2,0.28300000000000003,2,,2
123.0,2,7.0301,2,33.0582,2,246.7,2,66.3,2,0.135,2,0.249,2,,2
124.0,2,7.0642,2,33.0983,2,244.2,2,66.3,2,0.13,2,0.22399999999999998,2,,2
125.0,2,7.0941,2,33.1264,2,242.4,2,66.4,2,0.122,2,0.24100000000000002,2,,2
126.0,2,7.1086,2,33.1497,2,240.5,2,66.4,2,0.122,2,0.23,2,,2
127.0,2,7.1189,2,33.1746,2,238.2,2,66.5,2,0.115,2,0.235,2,,2
128.0,2,7.1381,2,33.2072,2,236.1,2,66.5,2,0.11,2,0.22899999999999998,2,,2
129.0,2,7.1497,2,33.235,2,233.2,2,66.6,2,0.105,2,0.24100000000000002,2,,2
130.0,2,7.1569,2,33.2607,2,228.7,2,66.6,2,0.099,2,0.213,2,,2
131.0,2,7.1536,2,33.2845,2,225.9,2,66.6,2,0.091,2,0.214,2,,2
132.0,2,7.1691,2,33.3048,2,224.6,2,66.6,2,0.091,2,0.195,2,,2
133.0,2,7.2002,2,33.3379,2,223.5,2,66.6,2,0.08800000000000001,2,0.187,2,,2
134.0,2,7.2199,2,33.3589,2,221.4,2,66.7,2,0.084,2,0.183,2,,2
135.0,2,7.2234,2,33.3621,2,218.0,2,66.7,2,0.085,2,0.196,2,,2
136.0,2,7.2311,2,33.3788,2,215.0,2,66.7,2,0.084,2,0.18600000000000003,2,,2
137.0,2,7.2374,2,33.3959,2,212.9,2,66.7,2,0.077,2,0.179,2,,2
138.0,2,7.252999999999999,2,33.4291,2,210.9,2,66.7,2,0.073,2,0.177,2,,2
139.0,2,7.2682,2,33.4609,2,209.3,2,66.8,2,0.073,2,0.182,2,,2
140.0,2,7.267,2,33.4769,2,208.6,2,66.8,2,0.066,2,0.152,2,,2
141.0,2,7.2668,2,33.5135,2,207.9,2,66.8,2,0.066,2,0.14,2,,2
142.0,2,7.2669,2,33.5168,2,207.6,2,66.8,2,0.061,2,0.155,2,,2
143.0,2,7.2674,2,33.5197,2,206.9,2,66.8,2,0.052000000000000005,2,0.147,2,,2
144.1,2,7.2679,2,33.5282,2,205.7,2,66.8,2,0.057999999999999996,2,0.162,2,,2
144.9,2,7.2685,2,33.5366,2,204.1,2,66.8,2,0.051,2,0.158,2,,2
145.9,2,7.27,2,33.5431,2,203.2,2,66.9,2,0.052000000000000005,2,0.139,2,,2
147.0,2,7.2701,2,33.5565,2,202.8,2,66.8,2,0.05,2,0.14300000000000002,2,,2
148.0,2,7.2686,2,33.5618,2,202.5,2,66.8,2,0.049,2,0.133,2,,2
149.0,2,7.2665,2,33.5701,2,202.1,2,66.8,2,0.049,2,0.146,2,,2
150.1,2,7.2642,2,33.5812,2,201.6,2,66.8,2,0.049,2,0.141,2,,2
151.0,2,7.2605,2,33.5907,2,199.8,2,66.8,2,0.049,2,0.138,2,,2
