CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,UE/m^2/sec,
307,2,5.4141,2,33.9181,2,93.0,2,54.5,2,,2
308,2,5.4111,2,33.919000000000004,2,92.4,2,54.5,2,,2
309,2,5.4026,2,33.9207,2,91.7,2,54.5,2,,2
310,2,5.402,2,33.9257,2,92.0,2,54.5,2,,2
311,2,5.409,2,33.9269,2,91.8,2,54.5,2,,2
312,2,5.412999999999999,2,33.9282,2,90.9,2,54.5,2,,2
313,2,5.4239,2,33.93,2,89.0,2,54.5,2,,2
314,2,5.436,2,33.9314,2,86.5,2,54.5,2,,2
315,2,5.4499,2,33.934,2,84.2,2,54.5,2,,2
316,2,5.4879,2,33.9388,2,82.9,2,54.5,2,,2
317,2,5.5004,2,33.9456,2,78.5,2,54.5,2,,2
318,2,5.4803,2,33.9422,2,77.5,2,54.5,2,,2
319,2,5.432,2,33.9386,2,77.2,2,54.5,2,,2
320,2,5.3805,2,33.9402,2,77.0,2,54.5,2,,2
321,2,5.39,2,33.9447,2,76.9,2,54.5,2,,2
322,2,5.3794,2,33.9439,2,77.1,2,54.5,2,,2
323,2,5.3749,2,33.9435,2,77.7,2,54.5,2,,2
325,2,5.3661,2,33.9422,2,78.1,2,54.5,2,,2
326,2,5.3619,2,33.9425,2,78.1,2,54.5,2,,2
327,2,5.3525,2,33.9412,2,78.0,2,54.5,2,,2
328,2,5.3156,2,33.9439,2,77.3,2,54.5,2,,2
329,2,5.3058,2,33.9514,2,76.8,2,54.5,2,,2
330,2,5.2677,2,33.9518,2,75.8,2,54.5,2,,2
331,2,5.2745,2,33.952,2,76.0,2,54.5,2,,2
332,2,5.2718,2,33.9528,2,75.7,2,54.5,2,,2
333,2,5.2601,2,33.952,2,74.7,2,54.5,2,,2
334,2,5.2072,2,33.9468,2,73.7,2,54.5,2,,2
335,2,5.1675,2,33.944,2,72.7,2,54.5,2,,2
336,2,5.1561,2,33.9429,2,71.9,2,54.5,2,,2
338,2,5.1378,2,33.9442,2,72.3,2,54.5,2,,2
339,2,5.1322,2,33.9442,2,72.2,2,54.5,2,,2
340,2,5.1276,2,33.9449,2,72.6,2,54.5,2,,2
341,2,5.1262,2,33.9452,2,72.9,2,54.5,2,,2
342,2,5.1253,2,33.9449,2,72.9,2,54.5,2,,2
343,2,5.1172,2,33.9464,2,72.4,2,54.5,2,,2
344,2,5.11,2,33.948,2,72.2,2,54.5,2,,2
345,2,5.1043,2,33.95,2,71.9,2,54.5,2,,2
346,2,5.106,2,33.9517,2,71.5,2,54.5,2,,2
347,2,5.1019,2,33.9535,2,71.4,2,54.5,2,,2
348,2,5.1004,2,33.9541,2,71.1,2,54.5,2,,2
349,2,5.109,2,33.958,2,70.3,2,54.5,2,,2
350,2,5.1183,2,33.9612,2,69.4,2,54.5,2,,2
351,2,5.1209,2,33.9632,2,68.4,2,54.5,2,,2
352,2,5.1215,2,33.9657,2,67.0,2,54.5,2,,2
353,2,5.1497,2,33.9727,2,64.4,2,54.5,2,,2
354,2,5.2148,2,33.9845,2,63.0,2,54.5,2,,2
355,2,5.2207,2,33.9877,2,60.7,2,54.5,2,,2
356,2,5.2473,2,33.991,2,57.8,2,54.5,2,,2
357,2,5.2646,2,33.9946,2,56.1,2,54.5,2,,2
358,2,5.2808,2,33.9981,2,54.9,2,54.5,2,,2
359,2,5.2522,2,33.9945,2,53.8,2,54.5,2,,2
