CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,MG/M^3,,UE/m^2/sec,
270,2,3.7301,2,33.8735,2,68.1,2,1.775,2,,2
271,2,3.7307,2,33.8759,2,67.8,2,1.778,2,,2
272,2,3.7301,2,33.8765,2,67.2,2,1.7790000000000001,2,,2
273,2,3.7294,2,33.8768,2,66.7,2,1.778,2,,2
274,2,3.7321,2,33.8792,2,66.5,2,1.776,2,,2
275,2,3.7284,2,33.88,2,65.9,2,1.775,2,,2
276,2,3.7260000000000004,2,33.8802,2,65.1,2,1.775,2,,2
277,2,3.7252,2,33.8807,2,64.4,2,1.7730000000000001,2,,2
278,2,3.721,2,33.8827,2,64.2,2,1.777,2,,2
279,2,3.7205,2,33.8838,2,63.8,2,1.776,2,,2
280,2,3.721,2,33.8844,2,63.6,2,1.7730000000000001,2,,2
281,2,3.7213,2,33.8852,2,63.3,2,1.7730000000000001,2,,2
282,2,3.722,2,33.8867,2,62.4,2,1.7730000000000001,2,,2
283,2,3.7230000000000003,2,33.8881,2,61.6,2,1.775,2,,2
284,2,3.7229,2,33.8895,2,61.1,2,1.774,2,,2
285,2,3.722,2,33.8912,2,60.5,2,1.776,2,,2
286,2,3.7213,2,33.8932,2,60.2,2,1.7730000000000001,2,,2
287,2,3.7223,2,33.8946,2,59.8,2,1.7719999999999998,2,,2
288,2,3.7239999999999998,2,33.8968,2,59.5,2,1.77,2,,2
289,2,3.7239999999999998,2,33.8982,2,59.1,2,1.7730000000000001,2,,2
290,2,3.7276,2,33.9011,2,59.2,2,1.77,2,,2
291,2,3.7289999999999996,2,33.9024,2,59.2,2,1.7730000000000001,2,,2
292,2,3.7297,2,33.9032,2,59.1,2,1.771,2,,2
293,2,3.7328,2,33.9056,2,59.4,2,1.7719999999999998,2,,2
294,2,3.7366,2,33.9077,2,59.1,2,1.768,2,,2
295,2,3.7401,2,33.9085,2,58.9,2,1.7690000000000001,2,,2
296,2,3.7419,2,33.9092,2,59.0,2,1.77,2,,2
297,2,3.742,2,33.9094,2,58.5,2,1.768,2,,2
298,2,3.7423,2,33.9099,2,58.5,2,1.767,2,,2
299,2,3.7427,2,33.9104,2,58.3,2,1.766,2,,2
300,2,3.7438,2,33.9122,2,57.9,2,1.766,2,,2
301,2,3.7439,2,33.9137,2,57.8,2,1.768,2,,2
302,2,3.7447,2,33.9147,2,57.4,2,1.767,2,,2
303,2,3.7451,2,33.9156,2,56.7,2,1.766,2,,2
304,2,3.7453,2,33.9163,2,56.0,2,1.765,2,,2
305,2,3.7453,2,33.9167,2,55.4,2,1.765,2,,2
306,2,3.7479,2,33.9206,2,55.1,2,1.766,2,,2
307,2,3.7489999999999997,2,33.9243,2,54.9,2,1.766,2,,2
308,2,3.7493,2,33.9265,2,54.6,2,1.765,2,,2
309,2,3.7498,2,33.9281,2,54.2,2,1.765,2,,2
310,2,3.7503,2,33.9291,2,53.8,2,1.765,2,,2
311,2,3.7524,2,33.9324,2,53.5,2,1.761,2,,2
312,2,3.7553,2,33.9386,2,53.0,2,1.7630000000000001,2,,2
313,2,3.7558,2,33.9405,2,52.8,2,1.7630000000000001,2,,2
314,2,3.7557,2,33.942,2,52.5,2,1.7619999999999998,2,,2
315,2,3.7555,2,33.9428,2,52.3,2,1.765,2,,2
316,2,3.7558,2,33.9437,2,52.2,2,1.765,2,,2
317,2,3.7559,2,33.9445,2,51.9,2,1.7630000000000001,2,,2
318,2,3.7563,2,33.9456,2,51.6,2,1.7619999999999998,2,,2
319,2,3.7563,2,33.9466,2,51.4,2,1.7619999999999998,2,,2
320,2,3.7559,2,33.9476,2,51.4,2,1.7619999999999998,2,,2
321,2,3.7557,2,33.948,2,51.2,2,1.7619999999999998,2,,2
322,2,3.7556,2,33.948,2,50.9,2,1.7630000000000001,2,,2
323,2,3.7551,2,33.948,2,51.5,2,1.7630000000000001,2,,2
324,2,3.7551,2,33.9482,2,51.3,2,1.765,2,,2
325,2,3.7558,2,33.9493,2,50.7,2,1.7619999999999998,2,,2
326,2,3.7577,2,33.9514,2,50.7,2,1.761,2,,2
327,2,3.7586,2,33.9526,2,50.9,2,1.76,2,,2
328,2,3.7588,2,33.9537,2,50.2,2,1.76,2,,2
329,2,3.7587,2,33.9549,2,50.2,2,1.76,2,,2
330,2,3.759,2,33.9566,2,49.6,2,1.761,2,,2
331,2,3.7589,2,33.9588,2,49.4,2,1.761,2,,2
332,2,3.7592,2,33.9609,2,48.9,2,1.7619999999999998,2,,2
333,2,3.7592,2,33.9622,2,48.8,2,1.7630000000000001,2,,2
334,2,3.7588,2,33.9634,2,48.7,2,1.7590000000000001,2,,2
335,2,3.7584,2,33.9641,2,48.5,2,1.7590000000000001,2,,2
336,2,3.7579,2,33.9647,2,48.3,2,1.7590000000000001,2,,2
337,2,3.7577,2,33.9651,2,48.3,2,1.757,2,,2
338,2,3.7576,2,33.9653,2,48.2,2,1.758,2,,2
339,2,3.7577,2,33.9655,2,47.9,2,1.7590000000000001,2,,2
340,2,3.7578,2,33.9658,2,47.2,2,1.761,2,,2
341,2,3.7576,2,33.9671,2,46.9,2,1.76,2,,2
342,2,3.7573,2,33.9696,2,46.6,2,1.76,2,,2
343,2,3.7575,2,33.9721,2,46.5,2,1.7590000000000001,2,,2
344,2,3.7577,2,33.9723,2,46.5,2,1.761,2,,2
345,2,3.7577,2,33.9727,2,46.3,2,1.758,2,,2
346,2,3.7575,2,33.973,2,45.8,2,1.76,2,,2
347,2,3.7574,2,33.9735,2,45.5,2,1.758,2,,2
348,2,3.7573,2,33.9748,2,45.1,2,1.757,2,,2
349,2,3.7575,2,33.9757,2,44.8,2,1.7590000000000001,2,,2
