CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,MG/M^3,,UE/m^2/sec,
83,2,7.5145,2,33.2088,2,,2,0.5760000000000001,2,,2
84,2,7.5127,2,33.2133,2,,2,0.575,2,,2
85,2,7.5028,2,33.2301,2,,2,0.5720000000000001,2,,2
86,2,7.4896,2,33.2473,2,,2,0.57,2,,2
87,2,7.4921,2,33.2983,2,,2,0.5710000000000001,2,,2
88,2,7.4982,2,33.3181,2,,2,0.5670000000000001,2,,2
89,2,7.4976,2,33.3449,2,,2,0.568,2,,2
90,2,7.5011,2,33.3718,2,,2,0.5660000000000001,2,,2
91,2,7.4987,2,33.3966,2,,2,0.5670000000000001,2,,2
92,2,7.4911,2,33.4226,2,,2,0.569,2,,2
93,2,7.4734,2,33.4348,2,,2,0.569,2,,2
94,2,7.4787,2,33.4521,2,,2,0.5670000000000001,2,,2
95,2,7.5006,2,33.4825,2,,2,0.5660000000000001,2,,2
96,2,7.51,2,33.5027,2,,2,0.568,2,,2
97,2,7.5071,2,33.5259,2,,2,0.568,2,,2
98,2,7.5016,2,33.546,2,,2,0.568,2,,2
99,2,7.4917,2,33.559,2,,2,0.5660000000000001,2,,2
100,2,7.4897,2,33.562,2,,2,0.5660000000000001,2,,2
101,2,7.4837,2,33.5637,2,,2,0.569,2,,2
102,2,7.4777,2,33.5701,2,,2,0.563,2,,2
103,2,7.4587,2,33.5894,2,,2,0.5660000000000001,2,,2
104,2,7.4469,2,33.6052,2,,2,0.5670000000000001,2,,2
105,2,7.4521,2,33.6185,2,,2,0.5670000000000001,2,,2
106,2,7.4606,2,33.6329,2,,2,0.57,2,,2
107,2,7.4684,2,33.6424,2,,2,0.5660000000000001,2,,2
108,2,7.4849,2,33.6499,2,,2,0.563,2,,2
109,2,7.4732,2,33.6693,2,,2,0.5660000000000001,2,,2
110,2,7.4697,2,33.6789,2,,2,0.5660000000000001,2,,2
111,2,7.4656,2,33.6804,2,,2,0.569,2,,2
112,2,7.4543,2,33.69,2,,2,0.565,2,,2
113,2,7.4479,2,33.6967,2,,2,0.5670000000000001,2,,2
114,2,7.4426,2,33.7031,2,,2,0.5670000000000001,2,,2
115,2,7.4371,2,33.7094,2,,2,0.5660000000000001,2,,2
116,2,7.4267,2,33.7237,2,,2,0.5670000000000001,2,,2
117,2,7.4097,2,33.7415,2,,2,0.569,2,,2
118,2,7.4007,2,33.7503,2,,2,0.5660000000000001,2,,2
119,2,7.3957,2,33.7542,2,,2,0.5670000000000001,2,,2
120,2,7.3923,2,33.7567,2,,2,0.5660000000000001,2,,2
121,2,7.3879,2,33.7594,2,,2,0.569,2,,2
122,2,7.3859,2,33.7608,2,,2,0.5660000000000001,2,,2
123,2,7.377999999999999,2,33.7673,2,,2,0.5670000000000001,2,,2
124,2,7.3688,2,33.7722,2,,2,0.569,2,,2
125,2,7.3629,2,33.7762,2,,2,0.569,2,,2
