CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,MG/M^3,,UE/m^2/sec,
103.0,2,8.9944,2,33.5877,2,151.2,2,,2,0.096,2,,2,0.0,2
104.0,2,8.9847,2,33.5914,2,150.5,2,,2,0.102,2,,2,0.0,2
105.0,2,8.982000000000001,2,33.5924,2,150.1,2,,2,0.09699999999999999,2,,2,0.0,2
106.0,2,8.9778,2,33.5935,2,149.7,2,,2,0.091,2,,2,0.0,2
107.0,2,8.9695,2,33.5955,2,149.4,2,,2,0.086,2,,2,0.0,2
108.0,2,8.9533,2,33.6005,2,149.5,2,,2,0.084,2,,2,0.0,2
109.0,2,8.924,2,33.6106,2,149.2,2,,2,0.081,2,,2,0.0,2
110.0,2,8.9102,2,33.6164,2,148.8,2,,2,0.08,2,,2,0.0,2
111.0,2,8.8959,2,33.6203,2,148.2,2,,2,0.08,2,,2,0.0,2
112.0,2,8.8757,2,33.6276,2,147.7,2,,2,0.077,2,,2,0.0,2
113.0,2,8.8619,2,33.6327,2,147.1,2,,2,0.075,2,,2,0.0,2
114.0,2,8.855,2,33.6348,2,146.8,2,,2,0.073,2,,2,0.0,2
115.0,2,8.8434,2,33.6399,2,145.9,2,,2,0.075,2,,2,0.0,2
116.0,2,8.8251,2,33.6475,2,145.1,2,,2,0.07400000000000001,2,,2,0.0,2
117.0,2,8.8125,2,33.6528,2,144.1,2,,2,0.076,2,,2,0.0,2
118.0,2,8.7978,2,33.6593,2,143.1,2,,2,0.071,2,,2,0.0,2
119.0,2,8.7846,2,33.6654,2,142.2,2,,2,0.08,2,,2,0.0,2
120.0,2,8.7658,2,33.6728,2,141.2,2,,2,0.071,2,,2,0.0,2
121.0,2,8.7523,2,33.679,2,140.4,2,,2,0.068,2,,2,0.0,2
122.0,2,8.7323,2,33.6864,2,140.0,2,,2,0.07400000000000001,2,,2,0.0,2
123.0,2,8.7256,2,33.6881,2,139.9,2,,2,0.068,2,,2,0.0,2
124.0,2,8.7149,2,33.6911,2,139.7,2,,2,0.07200000000000001,2,,2,0.0,2
125.0,2,8.7006,2,33.6964,2,139.3,2,,2,0.067,2,,2,0.0,2
126.0,2,8.685,2,33.7027,2,138.5,2,,2,0.067,2,,2,0.0,2
127.0,2,8.6719,2,33.7079,2,137.3,2,,2,0.066,2,,2,0.0,2
128.0,2,8.6547,2,33.7153,2,136.2,2,,2,0.068,2,,2,0.0,2
129.0,2,8.6449,2,33.7202,2,135.1,2,,2,0.068,2,,2,0.0,2
130.0,2,8.6369,2,33.7254,2,134.1,2,,2,0.067,2,,2,0.0,2
131.0,2,8.6252,2,33.7314,2,132.8,2,,2,0.062,2,,2,0.0,2
132.0,2,8.6082,2,33.7411,2,131.5,2,,2,0.063,2,,2,0.0,2
133.0,2,8.6004,2,33.7497,2,130.5,2,,2,0.063,2,,2,0.0,2
134.0,2,8.5791,2,33.7579,2,129.7,2,,2,0.064,2,,2,0.0,2
135.0,2,8.551,2,33.7677,2,128.8,2,,2,0.063,2,,2,0.0,2
136.0,2,8.5483,2,33.7746,2,127.5,2,,2,0.061,2,,2,0.0,2
137.0,2,8.5333,2,33.7799,2,126.9,2,,2,0.062,2,,2,0.0,2
138.0,2,8.4907,2,33.7819,2,127.2,2,,2,0.062,2,,2,0.0,2
139.0,2,8.4743,2,33.7844,2,127.6,2,,2,0.061,2,,2,0.0,2
140.0,2,8.4755,2,33.7855,2,127.5,2,,2,0.062,2,,2,0.0,2
141.0,2,8.4731,2,33.7887,2,127.2,2,,2,0.062,2,,2,0.0,2
142.0,2,8.481,2,33.7949,2,126.3,2,,2,0.063,2,,2,0.0,2
143.0,2,8.4784,2,33.8004,2,124.8,2,,2,0.061,2,,2,0.0,2
144.0,2,8.4606,2,33.8063,2,123.5,2,,2,0.061,2,,2,0.0,2
145.0,2,8.4405,2,33.8104,2,123.0,2,,2,0.06,2,,2,0.0,2
146.0,2,8.4119,2,33.8117,2,122.8,2,,2,0.061,2,,2,0.0,2
147.0,2,8.3972,2,33.8137,2,122.3,2,,2,0.061,2,,2,0.0,2
148.0,2,8.3849,2,33.8166,2,122.1,2,,2,0.061,2,,2,0.0,2
149.0,2,8.3453,2,33.8147,2,122.6,2,,2,0.062,2,,2,0.0,2
150.0,2,8.3189,2,33.8173,2,122.8,2,,2,0.061,2,,2,0.0,2
151.0,2,8.3038,2,33.8244,2,122.4,2,,2,0.061,2,,2,0.0,2
152.1,2,8.2975,2,33.8294,2,122.1,2,,2,0.061,2,,2,0.0,2
153.0,2,8.3153,2,33.8422,2,120.2,2,,2,0.062,2,,2,0.0,2
