CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
70,2,8.0963,2,33.2246,2,176.1,2,66.8,2,0.172,2,,2
71,2,8.0826,2,33.2472,2,174.3,2,66.9,2,0.18100000000000002,2,,2
72,2,8.074,2,33.263000000000005,2,173.3,2,66.8,2,0.161,2,,2
73,2,8.0698,2,33.2795,2,175.5,2,66.7,2,0.155,2,,2
74,2,8.0648,2,33.3008,2,180.2,2,66.5,2,0.15,2,,2
75,2,8.062000000000001,2,33.3067,2,181.1,2,66.4,2,0.145,2,,2
76,2,8.0594,2,33.3139,2,161.5,2,66.8,2,0.125,2,,2
77,2,8.0566,2,33.3178,2,157.7,2,66.6,2,0.136,2,,2
78,2,8.0531,2,33.3363,2,155.1,2,66.4,2,0.14,2,,2
79,2,8.0561,2,33.3706,2,151.7,2,65.9,2,0.14,2,,2
80,2,8.0457,2,33.3848,2,150.0,2,65.9,2,0.14,2,,2
81,2,8.0357,2,33.3913,2,151.5,2,65.9,2,0.134,2,,2
82,2,8.0273,2,33.396,2,149.6,2,65.3,2,0.125,2,,2
83,2,8.0138,2,33.4005,2,146.2,2,64.9,2,0.125,2,,2
84,2,7.9952,2,33.4124,2,145.1,2,64.6,2,0.11699999999999999,2,,2
85,2,7.9992,2,33.4291,2,146.2,2,64.1,2,0.139,2,,2
86,2,8.0101,2,33.4361,2,148.5,2,64.0,2,0.129,2,,2
87,2,8.0179,2,33.4393,2,150.0,2,63.9,2,0.11199999999999999,2,,2
88,2,8.0271,2,33.4448,2,149.2,2,64.1,2,0.125,2,,2
89,2,8.0341,2,33.4489,2,145.0,2,64.3,2,0.11900000000000001,2,,2
90,2,8.0514,2,33.469,2,142.4,2,64.4,2,0.115,2,,2
91,2,8.0341,2,33.5236,2,141.0,2,64.5,2,0.109,2,,2
92,2,8.0115,2,33.5235,2,140.6,2,64.9,2,0.11,2,,2
93,2,8.0054,2,33.5233,2,139.7,2,64.6,2,0.126,2,,2
94,2,7.9905,2,33.5216,2,139.8,2,64.2,2,0.134,2,,2
95,2,7.983,2,33.5208,2,140.8,2,64.0,2,0.111,2,,2
96,2,7.9714,2,33.5198,2,142.4,2,63.8,2,0.11599999999999999,2,,2
97,2,7.9646,2,33.5205,2,142.7,2,63.6,2,0.102,2,,2
98,2,7.9589,2,33.525,2,135.9,2,63.9,2,0.12,2,,2
99,2,7.9383,2,33.5343,2,135.2,2,63.8,2,0.125,2,,2
100,2,7.9363,2,33.5402,2,134.7,2,63.5,2,0.125,2,,2
101,2,7.9796,2,33.5532,2,134.6,2,63.1,2,0.121,2,,2
102,2,7.9943,2,33.5632,2,132.8,2,62.9,2,0.109,2,,2
103,2,7.9843,2,33.5738,2,131.1,2,63.6,2,0.109,2,,2
104,2,7.99,2,33.5785,2,132.2,2,63.8,2,0.109,2,,2
